plan,swing,baseline,dem,rep
2022,-18.1,final_wsa,29,70
Evers least change,-18.1,final_wsa,26,73
People's Map Commission,-18.1,final_wsa,22,77
2012,-18,final_wsa,26,73
2022,-18,final_wsa,29,70
Evers least change,-18,final_wsa,27,72
People's Map Commission,-18,final_wsa,22,77
2012,-17.9,final_wsa,26,73
2022,-17.9,final_wsa,29,70
Evers least change,-17.9,final_wsa,27,72
People's Map Commission,-17.9,final_wsa,22,77
2012,-17.8,final_wsa,26,73
2022,-17.8,final_wsa,30,69
Evers least change,-17.8,final_wsa,27,72
People's Map Commission,-17.8,final_wsa,22,77
2012,-17.7,final_wsa,26,73
2022,-17.7,final_wsa,30,69
Evers least change,-17.7,final_wsa,27,72
People's Map Commission,-17.7,final_wsa,22,77
2012,-17.6,final_wsa,26,73
2022,-17.6,final_wsa,30,69
Evers least change,-17.6,final_wsa,27,72
People's Map Commission,-17.6,final_wsa,22,77
2012,-17.5,final_wsa,26,73
2022,-17.5,final_wsa,30,69
Evers least change,-17.5,final_wsa,27,72
People's Map Commission,-17.5,final_wsa,22,77
2012,-17.4,final_wsa,26,73
2022,-17.4,final_wsa,30,69
Evers least change,-17.4,final_wsa,27,72
People's Map Commission,-17.4,final_wsa,22,77
2012,-17.3,final_wsa,26,73
2022,-17.3,final_wsa,30,69
Evers least change,-17.3,final_wsa,27,72
People's Map Commission,-17.3,final_wsa,22,77
2012,-17.2,final_wsa,26,73
2022,-17.2,final_wsa,30,69
Evers least change,-17.2,final_wsa,27,72
People's Map Commission,-17.2,final_wsa,23,76
2012,-17.1,final_wsa,26,73
2022,-17.1,final_wsa,30,69
Evers least change,-17.1,final_wsa,27,72
People's Map Commission,-17.1,final_wsa,23,76
2012,-17,final_wsa,26,73
2022,-17,final_wsa,30,69
Evers least change,-17,final_wsa,27,72
People's Map Commission,-17,final_wsa,23,76
2012,-16.9,final_wsa,26,73
2022,-16.9,final_wsa,30,69
Evers least change,-16.9,final_wsa,27,72
People's Map Commission,-16.9,final_wsa,23,76
2012,-16.8,final_wsa,26,73
2022,-16.8,final_wsa,30,69
Evers least change,-16.8,final_wsa,27,72
People's Map Commission,-16.8,final_wsa,23,76
2012,-16.7,final_wsa,26,73
2022,-16.7,final_wsa,30,69
Evers least change,-16.7,final_wsa,27,72
People's Map Commission,-16.7,final_wsa,24,75
2012,-16.6,final_wsa,26,73
2022,-16.6,final_wsa,30,69
Evers least change,-16.6,final_wsa,27,72
People's Map Commission,-16.6,final_wsa,24,75
2012,-16.5,final_wsa,26,73
2022,-16.5,final_wsa,30,69
Evers least change,-16.5,final_wsa,27,72
People's Map Commission,-16.5,final_wsa,24,75
2012,-16.4,final_wsa,26,73
2022,-16.4,final_wsa,30,69
Evers least change,-16.4,final_wsa,27,72
People's Map Commission,-16.4,final_wsa,24,75
2012,-16.3,final_wsa,26,73
2022,-16.3,final_wsa,30,69
Evers least change,-16.3,final_wsa,27,72
People's Map Commission,-16.3,final_wsa,24,75
2012,-16.2,final_wsa,26,73
2022,-16.2,final_wsa,30,69
Evers least change,-16.2,final_wsa,27,72
People's Map Commission,-16.2,final_wsa,24,75
2012,-16.1,final_wsa,26,73
2022,-16.1,final_wsa,30,69
Evers least change,-16.1,final_wsa,27,72
People's Map Commission,-16.1,final_wsa,25,74
2012,-16,final_wsa,26,73
2022,-16,final_wsa,30,69
Evers least change,-16,final_wsa,27,72
People's Map Commission,-16,final_wsa,25,74
2012,-15.899999999999999,final_wsa,26,73
2022,-15.899999999999999,final_wsa,30,69
Evers least change,-15.899999999999999,final_wsa,27,72
People's Map Commission,-15.899999999999999,final_wsa,25,74
2012,-15.8,final_wsa,26,73
2022,-15.8,final_wsa,30,69
Evers least change,-15.8,final_wsa,27,72
People's Map Commission,-15.8,final_wsa,26,73
2012,-15.7,final_wsa,26,73
2022,-15.7,final_wsa,30,69
Evers least change,-15.7,final_wsa,27,72
People's Map Commission,-15.7,final_wsa,27,72
2012,-15.6,final_wsa,26,73
2022,-15.6,final_wsa,30,69
Evers least change,-15.6,final_wsa,27,72
People's Map Commission,-15.6,final_wsa,27,72
2012,-15.5,final_wsa,27,72
2022,-15.5,final_wsa,30,69
Evers least change,-15.5,final_wsa,27,72
People's Map Commission,-15.5,final_wsa,27,72
2012,-15.399999999999999,final_wsa,27,72
2022,-15.399999999999999,final_wsa,30,69
Evers least change,-15.399999999999999,final_wsa,27,72
People's Map Commission,-15.399999999999999,final_wsa,27,72
2012,-15.3,final_wsa,27,72
2022,-15.3,final_wsa,30,69
Evers least change,-15.3,final_wsa,27,72
People's Map Commission,-15.3,final_wsa,27,72
2012,-15.2,final_wsa,27,72
2022,-15.2,final_wsa,30,69
Evers least change,-15.2,final_wsa,27,72
People's Map Commission,-15.2,final_wsa,27,72
2012,-15.1,final_wsa,27,72
2022,-15.1,final_wsa,30,69
Evers least change,-15.1,final_wsa,27,72
People's Map Commission,-15.1,final_wsa,27,72
2012,-15,final_wsa,27,72
2022,-15,final_wsa,30,69
Evers least change,-15,final_wsa,27,72
People's Map Commission,-15,final_wsa,28,71
2012,-14.899999999999999,final_wsa,27,72
2022,-14.899999999999999,final_wsa,30,69
Evers least change,-14.899999999999999,final_wsa,27,72
People's Map Commission,-14.899999999999999,final_wsa,28,71
2012,-14.8,final_wsa,27,72
2022,-14.8,final_wsa,30,69
Evers least change,-14.8,final_wsa,27,72
People's Map Commission,-14.8,final_wsa,28,71
2012,-14.7,final_wsa,27,72
2022,-14.7,final_wsa,30,69
Evers least change,-14.7,final_wsa,27,72
People's Map Commission,-14.7,final_wsa,28,71
2012,-14.6,final_wsa,27,72
2022,-14.6,final_wsa,30,69
Evers least change,-14.6,final_wsa,27,72
People's Map Commission,-14.6,final_wsa,28,71
2012,-14.5,final_wsa,27,72
2022,-14.5,final_wsa,30,69
Evers least change,-14.5,final_wsa,27,72
People's Map Commission,-14.5,final_wsa,28,71
2012,-14.399999999999999,final_wsa,27,72
2022,-14.399999999999999,final_wsa,30,69
Evers least change,-14.399999999999999,final_wsa,27,72
People's Map Commission,-14.399999999999999,final_wsa,28,71
2012,-14.3,final_wsa,27,72
2022,-14.3,final_wsa,30,69
Evers least change,-14.3,final_wsa,27,72
People's Map Commission,-14.3,final_wsa,28,71
2012,-14.2,final_wsa,27,72
2022,-14.2,final_wsa,30,69
Evers least change,-14.2,final_wsa,27,72
People's Map Commission,-14.2,final_wsa,28,71
2012,-14.1,final_wsa,27,72
2022,-14.1,final_wsa,31,68
Evers least change,-14.1,final_wsa,27,72
People's Map Commission,-14.1,final_wsa,28,71
2012,-14,final_wsa,27,72
2022,-14,final_wsa,31,68
Evers least change,-14,final_wsa,27,72
People's Map Commission,-14,final_wsa,28,71
2012,-13.899999999999999,final_wsa,27,72
2022,-13.899999999999999,final_wsa,31,68
Evers least change,-13.899999999999999,final_wsa,27,72
People's Map Commission,-13.899999999999999,final_wsa,28,71
2012,-13.8,final_wsa,27,72
2022,-13.8,final_wsa,31,68
Evers least change,-13.8,final_wsa,27,72
People's Map Commission,-13.8,final_wsa,28,71
2012,-13.7,final_wsa,27,72
2022,-13.7,final_wsa,31,68
Evers least change,-13.7,final_wsa,27,72
People's Map Commission,-13.7,final_wsa,28,71
2012,-13.6,final_wsa,27,72
2022,-13.6,final_wsa,31,68
Evers least change,-13.6,final_wsa,27,72
People's Map Commission,-13.6,final_wsa,28,71
2012,-13.5,final_wsa,27,72
2022,-13.5,final_wsa,32,67
Evers least change,-13.5,final_wsa,27,72
People's Map Commission,-13.5,final_wsa,28,71
2012,-13.399999999999999,final_wsa,27,72
2022,-13.399999999999999,final_wsa,32,67
Evers least change,-13.399999999999999,final_wsa,27,72
People's Map Commission,-13.399999999999999,final_wsa,30,69
2012,-13.3,final_wsa,27,72
2022,-13.3,final_wsa,32,67
Evers least change,-13.3,final_wsa,27,72
People's Map Commission,-13.3,final_wsa,30,69
2012,-13.2,final_wsa,27,72
2022,-13.2,final_wsa,32,67
Evers least change,-13.2,final_wsa,27,72
People's Map Commission,-13.2,final_wsa,30,69
2012,-13.1,final_wsa,27,72
2022,-13.1,final_wsa,32,67
Evers least change,-13.1,final_wsa,27,72
People's Map Commission,-13.1,final_wsa,30,69
2012,-13,final_wsa,28,71
2022,-13,final_wsa,32,67
Evers least change,-13,final_wsa,27,72
People's Map Commission,-13,final_wsa,30,69
2012,-12.899999999999999,final_wsa,28,71
2022,-12.899999999999999,final_wsa,32,67
Evers least change,-12.899999999999999,final_wsa,27,72
People's Map Commission,-12.899999999999999,final_wsa,30,69
2012,-12.8,final_wsa,28,71
2022,-12.8,final_wsa,32,67
Evers least change,-12.8,final_wsa,28,71
People's Map Commission,-12.8,final_wsa,30,69
2012,-12.7,final_wsa,28,71
2022,-12.7,final_wsa,32,67
Evers least change,-12.7,final_wsa,30,69
People's Map Commission,-12.7,final_wsa,31,68
2012,-12.6,final_wsa,28,71
2022,-12.6,final_wsa,32,67
Evers least change,-12.6,final_wsa,30,69
People's Map Commission,-12.6,final_wsa,32,67
2012,-12.5,final_wsa,28,71
2022,-12.5,final_wsa,32,67
Evers least change,-12.5,final_wsa,30,69
People's Map Commission,-12.5,final_wsa,32,67
2012,-12.399999999999999,final_wsa,29,70
2022,-12.399999999999999,final_wsa,32,67
Evers least change,-12.399999999999999,final_wsa,30,69
People's Map Commission,-12.399999999999999,final_wsa,32,67
2012,-12.3,final_wsa,30,69
2022,-12.3,final_wsa,32,67
Evers least change,-12.3,final_wsa,30,69
People's Map Commission,-12.3,final_wsa,32,67
2012,-12.2,final_wsa,30,69
2022,-12.2,final_wsa,32,67
Evers least change,-12.2,final_wsa,30,69
People's Map Commission,-12.2,final_wsa,32,67
2012,-12.1,final_wsa,30,69
2022,-12.1,final_wsa,32,67
Evers least change,-12.1,final_wsa,30,69
People's Map Commission,-12.1,final_wsa,32,67
2012,-12,final_wsa,30,69
2022,-12,final_wsa,32,67
Evers least change,-12,final_wsa,30,69
People's Map Commission,-12,final_wsa,32,67
2012,-11.9,final_wsa,30,69
2022,-11.9,final_wsa,32,67
Evers least change,-11.9,final_wsa,30,69
People's Map Commission,-11.9,final_wsa,32,67
2012,-11.799999999999999,final_wsa,30,69
2022,-11.799999999999999,final_wsa,32,67
Evers least change,-11.799999999999999,final_wsa,30,69
People's Map Commission,-11.799999999999999,final_wsa,32,67
2012,-11.7,final_wsa,30,69
2022,-11.7,final_wsa,32,67
Evers least change,-11.7,final_wsa,30,69
People's Map Commission,-11.7,final_wsa,32,67
2012,-11.6,final_wsa,30,69
2022,-11.6,final_wsa,32,67
Evers least change,-11.6,final_wsa,30,69
People's Map Commission,-11.6,final_wsa,32,67
2012,-11.5,final_wsa,30,69
2022,-11.5,final_wsa,33,66
Evers least change,-11.5,final_wsa,31,68
People's Map Commission,-11.5,final_wsa,32,67
2012,-11.4,final_wsa,30,69
2022,-11.4,final_wsa,33,66
Evers least change,-11.4,final_wsa,31,68
People's Map Commission,-11.4,final_wsa,32,67
2012,-11.299999999999999,final_wsa,30,69
2022,-11.299999999999999,final_wsa,33,66
Evers least change,-11.299999999999999,final_wsa,31,68
People's Map Commission,-11.299999999999999,final_wsa,32,67
2012,-11.2,final_wsa,30,69
2022,-11.2,final_wsa,33,66
Evers least change,-11.2,final_wsa,31,68
People's Map Commission,-11.2,final_wsa,32,67
2012,-11.1,final_wsa,31,68
2022,-11.1,final_wsa,33,66
Evers least change,-11.1,final_wsa,32,67
People's Map Commission,-11.1,final_wsa,32,67
2012,-11,final_wsa,31,68
2022,-11,final_wsa,33,66
Evers least change,-11,final_wsa,32,67
People's Map Commission,-11,final_wsa,32,67
2012,-10.9,final_wsa,31,68
2022,-10.9,final_wsa,33,66
Evers least change,-10.9,final_wsa,32,67
People's Map Commission,-10.9,final_wsa,32,67
2012,-10.799999999999999,final_wsa,31,68
2022,-10.799999999999999,final_wsa,33,66
Evers least change,-10.799999999999999,final_wsa,32,67
People's Map Commission,-10.799999999999999,final_wsa,32,67
2012,-10.7,final_wsa,31,68
2022,-10.7,final_wsa,33,66
Evers least change,-10.7,final_wsa,32,67
People's Map Commission,-10.7,final_wsa,32,67
2012,-10.6,final_wsa,31,68
2022,-10.6,final_wsa,33,66
Evers least change,-10.6,final_wsa,32,67
People's Map Commission,-10.6,final_wsa,32,67
2012,-10.5,final_wsa,31,68
2022,-10.5,final_wsa,33,66
Evers least change,-10.5,final_wsa,32,67
People's Map Commission,-10.5,final_wsa,33,66
2012,-10.399999999999999,final_wsa,31,68
2022,-10.399999999999999,final_wsa,33,66
Evers least change,-10.399999999999999,final_wsa,32,67
People's Map Commission,-10.399999999999999,final_wsa,33,66
2012,-10.299999999999999,final_wsa,32,67
2022,-10.299999999999999,final_wsa,33,66
Evers least change,-10.299999999999999,final_wsa,33,66
People's Map Commission,-10.299999999999999,final_wsa,34,65
2012,-10.2,final_wsa,32,67
2022,-10.2,final_wsa,33,66
Evers least change,-10.2,final_wsa,33,66
People's Map Commission,-10.2,final_wsa,34,65
2012,-10.1,final_wsa,32,67
2022,-10.1,final_wsa,33,66
Evers least change,-10.1,final_wsa,33,66
People's Map Commission,-10.1,final_wsa,34,65
2012,-10,final_wsa,33,66
2022,-10,final_wsa,33,66
Evers least change,-10,final_wsa,34,65
People's Map Commission,-10,final_wsa,34,65
2012,-9.899999999999999,final_wsa,33,66
2022,-9.899999999999999,final_wsa,33,66
Evers least change,-9.899999999999999,final_wsa,34,65
People's Map Commission,-9.899999999999999,final_wsa,34,65
2012,-9.799999999999999,final_wsa,33,66
2022,-9.799999999999999,final_wsa,33,66
Evers least change,-9.799999999999999,final_wsa,34,65
People's Map Commission,-9.799999999999999,final_wsa,34,65
2012,-9.7,final_wsa,33,66
2022,-9.7,final_wsa,33,66
Evers least change,-9.7,final_wsa,34,65
People's Map Commission,-9.7,final_wsa,35,64
2012,-9.6,final_wsa,33,66
2022,-9.6,final_wsa,33,66
Evers least change,-9.6,final_wsa,34,65
People's Map Commission,-9.6,final_wsa,36,63
2012,-9.5,final_wsa,33,66
2022,-9.5,final_wsa,33,66
Evers least change,-9.5,final_wsa,35,64
People's Map Commission,-9.5,final_wsa,37,62
2012,-9.399999999999999,final_wsa,34,65
2022,-9.399999999999999,final_wsa,33,66
Evers least change,-9.399999999999999,final_wsa,35,64
People's Map Commission,-9.399999999999999,final_wsa,37,62
2012,-9.299999999999999,final_wsa,34,65
2022,-9.299999999999999,final_wsa,33,66
Evers least change,-9.299999999999999,final_wsa,35,64
People's Map Commission,-9.299999999999999,final_wsa,37,62
2012,-9.2,final_wsa,34,65
2022,-9.2,final_wsa,33,66
Evers least change,-9.2,final_wsa,35,64
People's Map Commission,-9.2,final_wsa,37,62
2012,-9.1,final_wsa,34,65
2022,-9.1,final_wsa,33,66
Evers least change,-9.1,final_wsa,35,64
People's Map Commission,-9.1,final_wsa,37,62
2012,-9,final_wsa,35,64
2022,-9,final_wsa,33,66
Evers least change,-9,final_wsa,35,64
People's Map Commission,-9,final_wsa,37,62
2012,-8.899999999999999,final_wsa,35,64
2022,-8.899999999999999,final_wsa,33,66
Evers least change,-8.899999999999999,final_wsa,35,64
People's Map Commission,-8.899999999999999,final_wsa,37,62
2012,-8.799999999999999,final_wsa,35,64
2022,-8.799999999999999,final_wsa,33,66
Evers least change,-8.799999999999999,final_wsa,35,64
People's Map Commission,-8.799999999999999,final_wsa,37,62
2012,-8.7,final_wsa,35,64
2022,-8.7,final_wsa,33,66
Evers least change,-8.7,final_wsa,35,64
People's Map Commission,-8.7,final_wsa,37,62
2012,-8.6,final_wsa,35,64
2022,-8.6,final_wsa,33,66
Evers least change,-8.6,final_wsa,35,64
People's Map Commission,-8.6,final_wsa,37,62
2012,-8.5,final_wsa,35,64
2022,-8.5,final_wsa,33,66
Evers least change,-8.5,final_wsa,35,64
People's Map Commission,-8.5,final_wsa,38,61
2012,-8.399999999999999,final_wsa,35,64
2022,-8.399999999999999,final_wsa,33,66
Evers least change,-8.399999999999999,final_wsa,35,64
People's Map Commission,-8.399999999999999,final_wsa,38,61
2012,-8.299999999999999,final_wsa,35,64
2022,-8.299999999999999,final_wsa,33,66
Evers least change,-8.299999999999999,final_wsa,35,64
People's Map Commission,-8.299999999999999,final_wsa,38,61
2012,-8.2,final_wsa,35,64
2022,-8.2,final_wsa,33,66
Evers least change,-8.2,final_wsa,35,64
People's Map Commission,-8.2,final_wsa,38,61
2012,-8.1,final_wsa,35,64
2022,-8.1,final_wsa,33,66
Evers least change,-8.1,final_wsa,35,64
People's Map Commission,-8.1,final_wsa,39,60
2012,-8,final_wsa,35,64
2022,-8,final_wsa,33,66
Evers least change,-8,final_wsa,35,64
People's Map Commission,-8,final_wsa,39,60
2012,-7.899999999999999,final_wsa,35,64
2022,-7.899999999999999,final_wsa,33,66
Evers least change,-7.899999999999999,final_wsa,36,63
People's Map Commission,-7.899999999999999,final_wsa,39,60
2012,-7.799999999999999,final_wsa,35,64
2022,-7.799999999999999,final_wsa,33,66
Evers least change,-7.799999999999999,final_wsa,36,63
People's Map Commission,-7.799999999999999,final_wsa,39,60
2012,-7.699999999999999,final_wsa,35,64
2022,-7.699999999999999,final_wsa,34,65
Evers least change,-7.699999999999999,final_wsa,36,63
People's Map Commission,-7.699999999999999,final_wsa,39,60
2012,-7.6,final_wsa,35,64
2022,-7.6,final_wsa,34,65
Evers least change,-7.6,final_wsa,36,63
People's Map Commission,-7.6,final_wsa,39,60
2012,-7.5,final_wsa,35,64
2022,-7.5,final_wsa,34,65
Evers least change,-7.5,final_wsa,36,63
People's Map Commission,-7.5,final_wsa,39,60
2012,-7.399999999999999,final_wsa,35,64
2022,-7.399999999999999,final_wsa,34,65
Evers least change,-7.399999999999999,final_wsa,36,63
People's Map Commission,-7.399999999999999,final_wsa,39,60
2012,-7.299999999999999,final_wsa,35,64
2022,-7.299999999999999,final_wsa,34,65
Evers least change,-7.299999999999999,final_wsa,36,63
People's Map Commission,-7.299999999999999,final_wsa,39,60
2012,-7.199999999999999,final_wsa,35,64
2022,-7.199999999999999,final_wsa,34,65
Evers least change,-7.199999999999999,final_wsa,36,63
People's Map Commission,-7.199999999999999,final_wsa,39,60
2012,-7.1,final_wsa,35,64
2022,-7.1,final_wsa,34,65
Evers least change,-7.1,final_wsa,36,63
People's Map Commission,-7.1,final_wsa,39,60
2012,-7,final_wsa,35,64
2022,-7,final_wsa,34,65
Evers least change,-7,final_wsa,36,63
People's Map Commission,-7,final_wsa,39,60
2012,-6.899999999999999,final_wsa,35,64
2022,-6.899999999999999,final_wsa,34,65
Evers least change,-6.899999999999999,final_wsa,36,63
People's Map Commission,-6.899999999999999,final_wsa,39,60
2012,-6.799999999999999,final_wsa,35,64
2022,-6.799999999999999,final_wsa,34,65
Evers least change,-6.799999999999999,final_wsa,36,63
People's Map Commission,-6.799999999999999,final_wsa,39,60
2012,-6.699999999999999,final_wsa,35,64
2022,-6.699999999999999,final_wsa,34,65
Evers least change,-6.699999999999999,final_wsa,36,63
People's Map Commission,-6.699999999999999,final_wsa,39,60
2012,-6.6,final_wsa,35,64
2022,-6.6,final_wsa,34,65
Evers least change,-6.6,final_wsa,36,63
People's Map Commission,-6.6,final_wsa,39,60
2012,-6.5,final_wsa,35,64
2022,-6.5,final_wsa,34,65
Evers least change,-6.5,final_wsa,36,63
People's Map Commission,-6.5,final_wsa,39,60
2012,-6.399999999999999,final_wsa,35,64
2022,-6.399999999999999,final_wsa,34,65
Evers least change,-6.399999999999999,final_wsa,36,63
People's Map Commission,-6.399999999999999,final_wsa,39,60
2012,-6.299999999999999,final_wsa,35,64
2022,-6.299999999999999,final_wsa,34,65
Evers least change,-6.299999999999999,final_wsa,36,63
People's Map Commission,-6.299999999999999,final_wsa,39,60
2012,-6.199999999999999,final_wsa,35,64
2022,-6.199999999999999,final_wsa,34,65
Evers least change,-6.199999999999999,final_wsa,36,63
People's Map Commission,-6.199999999999999,final_wsa,39,60
2012,-6.1,final_wsa,35,64
2022,-6.1,final_wsa,34,65
Evers least change,-6.1,final_wsa,36,63
People's Map Commission,-6.1,final_wsa,39,60
2012,-6,final_wsa,35,64
2022,-6,final_wsa,34,65
Evers least change,-6,final_wsa,36,63
People's Map Commission,-6,final_wsa,39,60
2012,-5.899999999999999,final_wsa,35,64
2022,-5.899999999999999,final_wsa,34,65
Evers least change,-5.899999999999999,final_wsa,36,63
People's Map Commission,-5.899999999999999,final_wsa,39,60
2012,-5.799999999999999,final_wsa,35,64
2022,-5.799999999999999,final_wsa,34,65
Evers least change,-5.799999999999999,final_wsa,36,63
People's Map Commission,-5.799999999999999,final_wsa,39,60
2012,-5.699999999999999,final_wsa,35,64
2022,-5.699999999999999,final_wsa,34,65
Evers least change,-5.699999999999999,final_wsa,36,63
People's Map Commission,-5.699999999999999,final_wsa,39,60
2012,-5.6,final_wsa,35,64
2022,-5.6,final_wsa,34,65
Evers least change,-5.6,final_wsa,36,63
People's Map Commission,-5.6,final_wsa,39,60
2012,-5.5,final_wsa,35,64
2022,-5.5,final_wsa,34,65
Evers least change,-5.5,final_wsa,36,63
People's Map Commission,-5.5,final_wsa,39,60
2012,-5.399999999999999,final_wsa,35,64
2022,-5.399999999999999,final_wsa,34,65
Evers least change,-5.399999999999999,final_wsa,36,63
People's Map Commission,-5.399999999999999,final_wsa,39,60
2012,-5.299999999999999,final_wsa,35,64
2022,-5.299999999999999,final_wsa,34,65
Evers least change,-5.299999999999999,final_wsa,37,62
People's Map Commission,-5.299999999999999,final_wsa,39,60
2012,-5.199999999999999,final_wsa,35,64
2022,-5.199999999999999,final_wsa,34,65
Evers least change,-5.199999999999999,final_wsa,37,62
People's Map Commission,-5.199999999999999,final_wsa,39,60
2012,-5.1,final_wsa,35,64
2022,-5.1,final_wsa,34,65
Evers least change,-5.1,final_wsa,37,62
People's Map Commission,-5.1,final_wsa,39,60
2012,-5,final_wsa,35,64
2022,-5,final_wsa,34,65
Evers least change,-5,final_wsa,37,62
People's Map Commission,-5,final_wsa,39,60
2012,-4.899999999999999,final_wsa,35,64
2022,-4.899999999999999,final_wsa,34,65
Evers least change,-4.899999999999999,final_wsa,37,62
People's Map Commission,-4.899999999999999,final_wsa,39,60
2012,-4.799999999999999,final_wsa,35,64
2022,-4.799999999999999,final_wsa,34,65
Evers least change,-4.799999999999999,final_wsa,37,62
People's Map Commission,-4.799999999999999,final_wsa,39,60
2012,-4.699999999999999,final_wsa,35,64
2022,-4.699999999999999,final_wsa,34,65
Evers least change,-4.699999999999999,final_wsa,37,62
People's Map Commission,-4.699999999999999,final_wsa,39,60
2012,-4.6,final_wsa,35,64
2022,-4.6,final_wsa,34,65
Evers least change,-4.6,final_wsa,37,62
People's Map Commission,-4.6,final_wsa,39,60
2012,-4.5,final_wsa,35,64
2022,-4.5,final_wsa,34,65
Evers least change,-4.5,final_wsa,37,62
People's Map Commission,-4.5,final_wsa,39,60
2012,-4.399999999999999,final_wsa,35,64
2022,-4.399999999999999,final_wsa,34,65
Evers least change,-4.399999999999999,final_wsa,38,61
People's Map Commission,-4.399999999999999,final_wsa,40,59
2012,-4.299999999999999,final_wsa,35,64
2022,-4.299999999999999,final_wsa,34,65
Evers least change,-4.299999999999999,final_wsa,38,61
People's Map Commission,-4.299999999999999,final_wsa,40,59
2012,-4.199999999999999,final_wsa,35,64
2022,-4.199999999999999,final_wsa,34,65
Evers least change,-4.199999999999999,final_wsa,38,61
People's Map Commission,-4.199999999999999,final_wsa,41,58
2012,-4.1,final_wsa,35,64
2022,-4.1,final_wsa,34,65
Evers least change,-4.1,final_wsa,38,61
People's Map Commission,-4.1,final_wsa,41,58
2012,-4,final_wsa,36,63
2022,-4,final_wsa,34,65
Evers least change,-4,final_wsa,38,61
People's Map Commission,-4,final_wsa,41,58
2012,-3.8999999999999986,final_wsa,36,63
2022,-3.8999999999999986,final_wsa,34,65
Evers least change,-3.8999999999999986,final_wsa,38,61
People's Map Commission,-3.8999999999999986,final_wsa,42,57
2012,-3.8000000000000007,final_wsa,36,63
2022,-3.8000000000000007,final_wsa,34,65
Evers least change,-3.8000000000000007,final_wsa,39,60
People's Map Commission,-3.8000000000000007,final_wsa,43,56
2012,-3.6999999999999993,final_wsa,36,63
2022,-3.6999999999999993,final_wsa,34,65
Evers least change,-3.6999999999999993,final_wsa,39,60
People's Map Commission,-3.6999999999999993,final_wsa,43,56
2012,-3.599999999999998,final_wsa,36,63
2022,-3.599999999999998,final_wsa,34,65
Evers least change,-3.599999999999998,final_wsa,39,60
People's Map Commission,-3.599999999999998,final_wsa,43,56
2012,-3.5,final_wsa,36,63
2022,-3.5,final_wsa,34,65
Evers least change,-3.5,final_wsa,39,60
People's Map Commission,-3.5,final_wsa,43,56
2012,-3.3999999999999986,final_wsa,36,63
